threshold,precision,recall,f1,tp,fp,fn,expected_cost,flag_rate
0.001,0.05628438425730004,1.0,0.10657051282051283,133,2230,0,55750.0,0.5251111111111111
0.006015075376884422,0.08996539792387544,0.9774436090225563,0.16476552598225605,130,1315,3,33061.46,0.3211111111111111
0.011030150753768845,0.15346534653465346,0.9323308270676691,0.2635494155154091,124,684,9,17673.88,0.17955555555555555
0.016045226130653265,0.15346534653465346,0.9323308270676691,0.2635494155154091,124,684,9,17673.88,0.17955555555555555
0.02106030150753769,0.15346534653465346,0.9323308270676691,0.2635494155154091,124,684,9,17673.88,0.17955555555555555
0.02607537688442211,0.15346534653465346,0.9323308270676691,0.2635494155154091,124,684,9,17673.88,0.17955555555555555
0.031090452261306533,0.15346534653465346,0.9323308270676691,0.2635494155154091,124,684,9,17673.88,0.17955555555555555
0.03610552763819096,0.15346534653465346,0.9323308270676691,0.2635494155154091,124,684,9,17673.88,0.17955555555555555
0.04112060301507538,0.2,0.8646616541353384,0.3248587570621469,115,460,18,12236.75,0.12777777777777777
0.0461356783919598,0.2,0.8646616541353384,0.3248587570621469,115,460,18,12236.75,0.12777777777777777
0.05115075376884422,0.23255813953488372,0.8270676691729323,0.363036303630363,110,363,23,10135.86,0.10511111111111111
0.056165829145728645,0.23255813953488372,0.8270676691729323,0.363036303630363,110,363,23,10135.86,0.10511111111111111
0.061180904522613065,0.23255813953488372,0.8270676691729323,0.363036303630363,110,363,23,10135.86,0.10511111111111111
0.06619597989949749,0.23255813953488372,0.8270676691729323,0.363036303630363,110,363,23,10135.86,0.10511111111111111
0.07121105527638191,0.26804123711340205,0.7819548872180451,0.39923224568138194,104,284,29,8643.43,0.08622222222222223
0.07622613065326633,0.26804123711340205,0.7819548872180451,0.39923224568138194,104,284,29,8643.43,0.08622222222222223
0.08124120603015075,0.26804123711340205,0.7819548872180451,0.39923224568138194,104,284,29,8643.43,0.08622222222222223
0.08625628140703517,0.26804123711340205,0.7819548872180451,0.39923224568138194,104,284,29,8643.43,0.08622222222222223
0.0912713567839196,0.26804123711340205,0.7819548872180451,0.39923224568138194,104,284,29,8643.43,0.08622222222222223
0.09628643216080401,0.26804123711340205,0.7819548872180451,0.39923224568138194,104,284,29,8643.43,0.08622222222222223
0.10130150753768843,0.26804123711340205,0.7819548872180451,0.39923224568138194,104,284,29,8643.43,0.08622222222222223
0.10631658291457287,0.26804123711340205,0.7819548872180451,0.39923224568138194,104,284,29,8643.43,0.08622222222222223
0.11133165829145729,0.26804123711340205,0.7819548872180451,0.39923224568138194,104,284,29,8643.43,0.08622222222222223
0.11634673366834171,0.34901960784313724,0.6691729323308271,0.4587628865979382,89,166,44,7468.87,0.056666666666666664
0.12136180904522613,0.34901960784313724,0.6691729323308271,0.4587628865979382,89,166,44,7468.87,0.056666666666666664
0.12637688442211056,0.34901960784313724,0.6691729323308271,0.4587628865979382,89,166,44,7468.87,0.056666666666666664
0.13139195979899498,0.34901960784313724,0.6691729323308271,0.4587628865979382,89,166,44,7468.87,0.056666666666666664
0.1364070351758794,0.34901960784313724,0.6691729323308271,0.4587628865979382,89,166,44,7468.87,0.056666666666666664
0.14142211055276382,0.34901960784313724,0.6691729323308271,0.4587628865979382,89,166,44,7468.87,0.056666666666666664
0.14643718592964824,0.34901960784313724,0.6691729323308271,0.4587628865979382,89,166,44,7468.87,0.056666666666666664
0.15145226130653267,0.34901960784313724,0.6691729323308271,0.4587628865979382,89,166,44,7468.87,0.056666666666666664
0.15646733668341709,0.34901960784313724,0.6691729323308271,0.4587628865979382,89,166,44,7468.87,0.056666666666666664
0.1614824120603015,0.34901960784313724,0.6691729323308271,0.4587628865979382,89,166,44,7468.87,0.056666666666666664
0.16649748743718593,0.34901960784313724,0.6691729323308271,0.4587628865979382,89,166,44,7468.87,0.056666666666666664
0.17151256281407035,0.34901960784313724,0.6691729323308271,0.4587628865979382,89,166,44,7468.87,0.056666666666666664
0.17652763819095477,0.34901960784313724,0.6691729323308271,0.4587628865979382,89,166,44,7468.87,0.056666666666666664
0.1815427135678392,0.34901960784313724,0.6691729323308271,0.4587628865979382,89,166,44,7468.87,0.056666666666666664
0.1865577889447236,0.34901960784313724,0.6691729323308271,0.4587628865979382,89,166,44,7468.87,0.056666666666666664
0.19157286432160803,0.34901960784313724,0.6691729323308271,0.4587628865979382,89,166,44,7468.87,0.056666666666666664
0.19658793969849245,0.4430379746835443,0.5263157894736842,0.4810996563573883,70,88,63,7941.27,0.035111111111111114
0.20160301507537687,0.4430379746835443,0.5263157894736842,0.4810996563573883,70,88,63,7941.27,0.035111111111111114
0.20661809045226132,0.4430379746835443,0.5263157894736842,0.4810996563573883,70,88,63,7941.27,0.035111111111111114
0.21163316582914574,0.4430379746835443,0.5263157894736842,0.4810996563573883,70,88,63,7941.27,0.035111111111111114
0.21664824120603016,0.4430379746835443,0.5263157894736842,0.4810996563573883,70,88,63,7941.27,0.035111111111111114
0.22166331658291458,0.4430379746835443,0.5263157894736842,0.4810996563573883,70,88,63,7941.27,0.035111111111111114
0.226678391959799,0.4430379746835443,0.5263157894736842,0.4810996563573883,70,88,63,7941.27,0.035111111111111114
0.23169346733668342,0.4430379746835443,0.5263157894736842,0.4810996563573883,70,88,63,7941.27,0.035111111111111114
0.23670854271356784,0.4430379746835443,0.5263157894736842,0.4810996563573883,70,88,63,7941.27,0.035111111111111114
0.24172361809045226,0.4430379746835443,0.5263157894736842,0.4810996563573883,70,88,63,7941.27,0.035111111111111114
0.24673869346733668,0.4430379746835443,0.5263157894736842,0.4810996563573883,70,88,63,7941.27,0.035111111111111114
0.2517537688442211,0.4430379746835443,0.5263157894736842,0.4810996563573883,70,88,63,7941.27,0.035111111111111114
0.2567688442211055,0.4430379746835443,0.5263157894736842,0.4810996563573883,70,88,63,7941.27,0.035111111111111114
0.26178391959798997,0.4430379746835443,0.5263157894736842,0.4810996563573883,70,88,63,7941.27,0.035111111111111114
0.26679899497487436,0.4430379746835443,0.5263157894736842,0.4810996563573883,70,88,63,7941.27,0.035111111111111114
0.2718140703517588,0.4430379746835443,0.5263157894736842,0.4810996563573883,70,88,63,7941.27,0.035111111111111114
0.2768291457286432,0.4557823129251701,0.5037593984962406,0.4785714285714286,67,80,66,7925.77,0.03266666666666666
0.28184422110552765,0.4557823129251701,0.5037593984962406,0.4785714285714286,67,80,66,7925.77,0.03266666666666666
0.28685929648241204,0.4557823129251701,0.5037593984962406,0.4785714285714286,67,80,66,7925.77,0.03266666666666666
0.2918743718592965,0.4557823129251701,0.5037593984962406,0.4785714285714286,67,80,66,7925.77,0.03266666666666666
0.2968894472361809,0.4557823129251701,0.5037593984962406,0.4785714285714286,67,80,66,7925.77,0.03266666666666666
0.30190452261306533,0.4557823129251701,0.5037593984962406,0.4785714285714286,67,80,66,7925.77,0.03266666666666666
0.3069195979899497,0.4557823129251701,0.5037593984962406,0.4785714285714286,67,80,66,7925.77,0.03266666666666666
0.31193467336683417,0.4557823129251701,0.5037593984962406,0.4785714285714286,67,80,66,7925.77,0.03266666666666666
0.31694974874371856,0.4557823129251701,0.5037593984962406,0.4785714285714286,67,80,66,7925.77,0.03266666666666666
0.321964824120603,0.4557823129251701,0.5037593984962406,0.4785714285714286,67,80,66,7925.77,0.03266666666666666
0.32697989949748746,0.4557823129251701,0.5037593984962406,0.4785714285714286,67,80,66,7925.77,0.03266666666666666
0.33199497487437185,0.4557823129251701,0.5037593984962406,0.4785714285714286,67,80,66,7925.77,0.03266666666666666
0.3370100502512563,0.463768115942029,0.48120300751879697,0.47232472324723246,64,74,69,8413.27,0.030666666666666665
0.3420251256281407,0.463768115942029,0.48120300751879697,0.47232472324723246,64,74,69,8413.27,0.030666666666666665
0.34704020100502514,0.463768115942029,0.48120300751879697,0.47232472324723246,64,74,69,8413.27,0.030666666666666665
0.35205527638190953,0.463768115942029,0.48120300751879697,0.47232472324723246,64,74,69,8413.27,0.030666666666666665
0.357070351758794,0.463768115942029,0.48120300751879697,0.47232472324723246,64,74,69,8413.27,0.030666666666666665
0.3620854271356784,0.463768115942029,0.48120300751879697,0.47232472324723246,64,74,69,8413.27,0.030666666666666665
0.3671005025125628,0.463768115942029,0.48120300751879697,0.47232472324723246,64,74,69,8413.27,0.030666666666666665
0.3721155778894472,0.5052631578947369,0.3609022556390977,0.42105263157894735,48,47,85,9753.809999999998,0.021111111111111112
0.37713065326633166,0.5052631578947369,0.3609022556390977,0.42105263157894735,48,47,85,9753.809999999998,0.021111111111111112
0.38214572864321605,0.62,0.23308270676691728,0.3387978142076502,31,19,102,11206.319999999998,0.011111111111111112
0.3871608040201005,0.62,0.23308270676691728,0.3387978142076502,31,19,102,11206.319999999998,0.011111111111111112
0.3921758793969849,0.62,0.23308270676691728,0.3387978142076502,31,19,102,11206.319999999998,0.011111111111111112
0.39719095477386934,0.62,0.23308270676691728,0.3387978142076502,31,19,102,11206.319999999998,0.011111111111111112
0.40220603015075373,0.62,0.23308270676691728,0.3387978142076502,31,19,102,11206.319999999998,0.011111111111111112
0.4072211055276382,0.62,0.23308270676691728,0.3387978142076502,31,19,102,11206.319999999998,0.011111111111111112
0.41223618090452263,0.62,0.23308270676691728,0.3387978142076502,31,19,102,11206.319999999998,0.011111111111111112
0.417251256281407,0.62,0.23308270676691728,0.3387978142076502,31,19,102,11206.319999999998,0.011111111111111112
0.42226633165829147,0.62,0.23308270676691728,0.3387978142076502,31,19,102,11206.319999999998,0.011111111111111112
0.42728140703517586,0.62,0.23308270676691728,0.3387978142076502,31,19,102,11206.319999999998,0.011111111111111112
0.4322964824120603,0.62,0.23308270676691728,0.3387978142076502,31,19,102,11206.319999999998,0.011111111111111112
0.4373115577889447,0.62,0.23308270676691728,0.3387978142076502,31,19,102,11206.319999999998,0.011111111111111112
0.44232663316582915,0.62,0.23308270676691728,0.3387978142076502,31,19,102,11206.319999999998,0.011111111111111112
0.44734170854271355,0.62,0.23308270676691728,0.3387978142076502,31,19,102,11206.319999999998,0.011111111111111112
0.452356783919598,0.62,0.23308270676691728,0.3387978142076502,31,19,102,11206.319999999998,0.011111111111111112
0.4573718592964824,0.62,0.23308270676691728,0.3387978142076502,31,19,102,11206.319999999998,0.011111111111111112
0.46238693467336683,0.62,0.23308270676691728,0.3387978142076502,31,19,102,11206.319999999998,0.011111111111111112
0.4674020100502512,0.62,0.23308270676691728,0.3387978142076502,31,19,102,11206.319999999998,0.011111111111111112
0.4724170854271357,0.696969696969697,0.17293233082706766,0.27710843373493976,23,10,110,12101.229999999998,0.007333333333333333
0.47743216080402007,0.696969696969697,0.17293233082706766,0.27710843373493976,23,10,110,12101.229999999998,0.007333333333333333
0.4824472361809045,0.696969696969697,0.17293233082706766,0.27710843373493976,23,10,110,12101.229999999998,0.007333333333333333
0.48746231155778896,0.696969696969697,0.17293233082706766,0.27710843373493976,23,10,110,12101.229999999998,0.007333333333333333
0.49247738693467336,0.696969696969697,0.17293233082706766,0.27710843373493976,23,10,110,12101.229999999998,0.007333333333333333
0.4974924623115578,0.696969696969697,0.17293233082706766,0.27710843373493976,23,10,110,12101.229999999998,0.007333333333333333
0.5025075376884423,0.696969696969697,0.17293233082706766,0.27710843373493976,23,10,110,12101.229999999998,0.007333333333333333
0.5075226130653266,0.696969696969697,0.17293233082706766,0.27710843373493976,23,10,110,12101.229999999998,0.007333333333333333
0.512537688442211,0.696969696969697,0.17293233082706766,0.27710843373493976,23,10,110,12101.229999999998,0.007333333333333333
0.5175527638190954,0.696969696969697,0.17293233082706766,0.27710843373493976,23,10,110,12101.229999999998,0.007333333333333333
0.5225678391959799,0.696969696969697,0.17293233082706766,0.27710843373493976,23,10,110,12101.229999999998,0.007333333333333333
0.5275829145728643,0.696969696969697,0.17293233082706766,0.27710843373493976,23,10,110,12101.229999999998,0.007333333333333333
0.5325979899497487,0.696969696969697,0.17293233082706766,0.27710843373493976,23,10,110,12101.229999999998,0.007333333333333333
0.5376130653266331,0.8333333333333334,0.11278195488721804,0.19867549668874168,15,3,118,12636.21,0.004
0.5426281407035176,0.8333333333333334,0.11278195488721804,0.19867549668874168,15,3,118,12636.21,0.004
0.547643216080402,0.8333333333333334,0.11278195488721804,0.19867549668874168,15,3,118,12636.21,0.004
0.5526582914572864,0.8333333333333334,0.11278195488721804,0.19867549668874168,15,3,118,12636.21,0.004
0.5576733668341708,0.8333333333333334,0.11278195488721804,0.19867549668874168,15,3,118,12636.21,0.004
0.5626884422110553,0.8333333333333334,0.11278195488721804,0.19867549668874168,15,3,118,12636.21,0.004
0.5677035175879397,0.8333333333333334,0.11278195488721804,0.19867549668874168,15,3,118,12636.21,0.004
0.5727185929648241,0.8333333333333334,0.11278195488721804,0.19867549668874168,15,3,118,12636.21,0.004
0.5777336683417086,0.8333333333333334,0.11278195488721804,0.19867549668874168,15,3,118,12636.21,0.004
0.582748743718593,0.8333333333333334,0.11278195488721804,0.19867549668874168,15,3,118,12636.21,0.004
0.5877638190954774,0.8333333333333334,0.11278195488721804,0.19867549668874168,15,3,118,12636.21,0.004
0.5927788944723618,0.8333333333333334,0.11278195488721804,0.19867549668874168,15,3,118,12636.21,0.004
0.5977939698492463,0.8333333333333334,0.11278195488721804,0.19867549668874168,15,3,118,12636.21,0.004
0.6028090452261307,0.8333333333333334,0.11278195488721804,0.19867549668874168,15,3,118,12636.21,0.004
0.607824120603015,0.8333333333333334,0.11278195488721804,0.19867549668874168,15,3,118,12636.21,0.004
0.6128391959798994,0.8333333333333334,0.11278195488721804,0.19867549668874168,15,3,118,12636.21,0.004
0.617854271356784,0.8333333333333334,0.11278195488721804,0.19867549668874168,15,3,118,12636.21,0.004
0.6228693467336683,0.8333333333333334,0.11278195488721804,0.19867549668874168,15,3,118,12636.21,0.004
0.6278844221105527,0.8333333333333334,0.11278195488721804,0.19867549668874168,15,3,118,12636.21,0.004
0.6328994974874371,0.8333333333333334,0.11278195488721804,0.19867549668874168,15,3,118,12636.21,0.004
0.6379145728643216,0.8333333333333334,0.11278195488721804,0.19867549668874168,15,3,118,12636.21,0.004
0.642929648241206,0.8333333333333334,0.11278195488721804,0.19867549668874168,15,3,118,12636.21,0.004
0.6479447236180904,0.8333333333333334,0.11278195488721804,0.19867549668874168,15,3,118,12636.21,0.004
0.6529597989949749,0.8333333333333334,0.11278195488721804,0.19867549668874168,15,3,118,12636.21,0.004
0.6579748743718593,0.8333333333333334,0.11278195488721804,0.19867549668874168,15,3,118,12636.21,0.004
0.6629899497487437,0.8333333333333334,0.11278195488721804,0.19867549668874168,15,3,118,12636.21,0.004
0.6680050251256281,0.9166666666666666,0.08270676691729323,0.15172413793103448,11,1,122,13601.42,0.0026666666666666666
0.6730201005025126,0.9166666666666666,0.08270676691729323,0.15172413793103448,11,1,122,13601.42,0.0026666666666666666
0.678035175879397,0.9166666666666666,0.08270676691729323,0.15172413793103448,11,1,122,13601.42,0.0026666666666666666
0.6830502512562814,0.9166666666666666,0.08270676691729323,0.15172413793103448,11,1,122,13601.42,0.0026666666666666666
0.6880653266331658,0.9166666666666666,0.08270676691729323,0.15172413793103448,11,1,122,13601.42,0.0026666666666666666
0.6930804020100503,0.9166666666666666,0.08270676691729323,0.15172413793103448,11,1,122,13601.42,0.0026666666666666666
0.6980954773869347,0.9166666666666666,0.08270676691729323,0.15172413793103448,11,1,122,13601.42,0.0026666666666666666
0.7031105527638191,0.9166666666666666,0.08270676691729323,0.15172413793103448,11,1,122,13601.42,0.0026666666666666666
0.7081256281407035,0.9166666666666666,0.08270676691729323,0.15172413793103448,11,1,122,13601.42,0.0026666666666666666
0.713140703517588,0.9166666666666666,0.08270676691729323,0.15172413793103448,11,1,122,13601.42,0.0026666666666666666
0.7181557788944724,0.9166666666666666,0.08270676691729323,0.15172413793103448,11,1,122,13601.42,0.0026666666666666666
0.7231708542713567,0.9166666666666666,0.08270676691729323,0.15172413793103448,11,1,122,13601.42,0.0026666666666666666
0.7281859296482412,0.9166666666666666,0.08270676691729323,0.15172413793103448,11,1,122,13601.42,0.0026666666666666666
0.7332010050251256,0.9166666666666666,0.08270676691729323,0.15172413793103448,11,1,122,13601.42,0.0026666666666666666
0.73821608040201,0.9166666666666666,0.08270676691729323,0.15172413793103448,11,1,122,13601.42,0.0026666666666666666
0.7432311557788944,0.9166666666666666,0.08270676691729323,0.15172413793103448,11,1,122,13601.42,0.0026666666666666666
0.7482462311557789,0.9166666666666666,0.08270676691729323,0.15172413793103448,11,1,122,13601.42,0.0026666666666666666
0.7532613065326633,0.9166666666666666,0.08270676691729323,0.15172413793103448,11,1,122,13601.42,0.0026666666666666666
0.7582763819095477,0.9166666666666666,0.08270676691729323,0.15172413793103448,11,1,122,13601.42,0.0026666666666666666
0.7632914572864321,0.9166666666666666,0.08270676691729323,0.15172413793103448,11,1,122,13601.42,0.0026666666666666666
0.7683065326633166,0.9166666666666666,0.08270676691729323,0.15172413793103448,11,1,122,13601.42,0.0026666666666666666
0.773321608040201,0.9166666666666666,0.08270676691729323,0.15172413793103448,11,1,122,13601.42,0.0026666666666666666
0.7783366834170854,0.9166666666666666,0.08270676691729323,0.15172413793103448,11,1,122,13601.42,0.0026666666666666666
0.7833517587939698,0.9166666666666666,0.08270676691729323,0.15172413793103448,11,1,122,13601.42,0.0026666666666666666
0.7883668341708543,0.9166666666666666,0.08270676691729323,0.15172413793103448,11,1,122,13601.42,0.0026666666666666666
0.7933819095477387,0.9166666666666666,0.08270676691729323,0.15172413793103448,11,1,122,13601.42,0.0026666666666666666
0.7983969849246231,0.9166666666666666,0.08270676691729323,0.15172413793103448,11,1,122,13601.42,0.0026666666666666666
0.8034120603015075,1.0,0.05263157894736842,0.1,7,0,126,14026.619999999999,0.0015555555555555555
0.808427135678392,1.0,0.05263157894736842,0.1,7,0,126,14026.619999999999,0.0015555555555555555
0.8134422110552764,1.0,0.05263157894736842,0.1,7,0,126,14026.619999999999,0.0015555555555555555
0.8184572864321608,1.0,0.05263157894736842,0.1,7,0,126,14026.619999999999,0.0015555555555555555
0.8234723618090453,1.0,0.05263157894736842,0.1,7,0,126,14026.619999999999,0.0015555555555555555
0.8284874371859297,1.0,0.05263157894736842,0.1,7,0,126,14026.619999999999,0.0015555555555555555
0.833502512562814,1.0,0.05263157894736842,0.1,7,0,126,14026.619999999999,0.0015555555555555555
0.8385175879396984,1.0,0.05263157894736842,0.1,7,0,126,14026.619999999999,0.0015555555555555555
